short_date,hour,lat,long,temp,rhum,rain,sol_rad
2016-04-30,0,52.857,-6.909,4.3,85,0,0
2016-04-30,1,52.857,-6.909,3.8,86,0,0
2016-04-30,2,52.857,-6.909,3.4,88,0,0
2016-04-30,3,52.857,-6.909,3,86,0,0
2016-04-30,4,52.857,-6.909,3,87,0,0
2016-04-30,5,52.857,-6.909,2.9,86,0,0.085
2016-04-30,6,52.857,-6.909,3.5,89,0,0.437
2016-04-30,7,52.857,-6.909,5.6,78,0,0.439
2016-04-30,8,52.857,-6.909,6,80,0,0.752
2016-04-30,9,52.857,-6.909,7.7,75,0,1.375
2016-04-30,10,52.857,-6.909,8.7,69,0,1.022
2016-04-30,11,52.857,-6.909,7.7,83,0.5,1.361
2016-04-30,12,52.857,-6.909,9.6,72,0,1.586
2016-04-30,13,52.857,-6.909,10.2,68,0,1.21
2016-04-30,14,52.857,-6.909,10.3,64,0,0.665
2016-04-30,15,52.857,-6.909,8.4,89,1.2,1.628
2016-04-30,16,52.857,-6.909,10.8,66,0,1.183
2016-04-30,17,52.857,-6.909,11.4,67,0,0.95
2016-04-30,18,52.857,-6.909,11.9,57,0,0.422
2016-04-30,19,52.857,-6.909,10.1,67,0,0.088
2016-04-30,20,52.857,-6.909,8.1,77,0,0
2016-04-30,21,52.857,-6.909,7.2,80,0,0
2016-04-30,22,52.857,-6.909,7.1,80,0.1,0
2016-04-30,23,52.857,-6.909,7.2,89,0,0
2016-05-01,0,52.857,-6.909,8,79,0,0
2016-05-01,1,52.857,-6.909,7.4,82,0,0
2016-05-01,2,52.857,-6.909,7.2,84,0,0
2016-05-01,3,52.857,-6.909,8.1,91,0,0
2016-05-01,4,52.857,-6.909,8.6,95,0.1,0
2016-05-01,5,52.857,-6.909,8.9,97,0.3,0.005
2016-05-01,6,52.857,-6.909,9.4,98,0.1,0.075
2016-05-01,7,52.857,-6.909,10.1,97,0.2,0.241
2016-05-01,8,52.857,-6.909,10.6,97,0,0.305
2016-05-01,9,52.857,-6.909,11.3,97,0,0.722
2016-05-01,10,52.857,-6.909,12.4,94,0,0.476
