src_id	Name	Area	Area type	Station start date	Station end date	Latitude	Longitude	Postcode
16221	AGHALEE POLICE STATION 	ANTRIM 	COUNTY 	1/1/1964	12/31/1983	54.52	-6.27017	BT67 0 
1432	AGHANLOO 	LONDONDERRY 	COUNTY 	1/1/1972	9/30/1995	55.0732	-6.9463	BT49 0 
16186	AGHINTAINE CASTLE 	TYRONE 	COUNTY 	1/1/1961	12/31/1982	54.4045	-7.28848	BT75 0 
1450	ALDERGROVE 	ANTRIM 	COUNTY 	1/1/1926	Current 	54.6636	-6.22436	BT29 4 
16512	ALDERWOOD W WKS 	TYRONE 	COUNTY 	1/1/1960	12/31/1976	54.362	-7.25075	BT75 0 
16139	ALTABROGY BURN 	LONDONDERRY 	COUNTY 	1/1/1931	Current 	54.8714	-6.90712	BT47 4 
16143	ALTAGARRAN MOUNTAIN 	LONDONDERRY 	COUNTY 	1/1/1928	3/31/2009	54.8545	-6.89084	BT47 4 
56448	ALTAGARRAN MOUNTAIN NO 2 	LONDONDERRY 	COUNTY 	5/1/2009	Current 	54.8623	-6.90634	BT47 4 
1553	ALTAVEEDAN W WKS 	TYRONE 	COUNTY 	1/1/1976	3/1/1999	54.3522	-7.25093	BT75 0 
16129	ALTNAGELVIN CEMETERY 	LONDONDERRY 	COUNTY 	1/1/1963	12/31/1994	54.9813	-7.29238	BT47 2 
16302	ALTNAHINCH DAM 	ANTRIM 	COUNTY 	1/1/1955	12/31/1977	55.0417	-6.24306	BT44 9 
1452	ALTNAHINCH FILTERS 	ANTRIM 	COUNTY 	1/1/1965	Current 	55.0478	-6.25433	BT44 9 
1471	ANDERSONSTOWN 	ANTRIM 	COUNTY 	1/1/1976	12/31/1979	54.5814	-5.9953	BT11 8 
16379	ANNAGHANOON 	DOWN 	COUNTY 	1/1/1930	12/31/1955	54.4082	-6.30261	BT66 7 
1532	ANNAGHMORE 	ARMAGH 	COUNTY 	1/1/1980	12/31/2008	54.4586	-6.60181	BT71 6 
1528	ANNALONG: DARRAWAY 	DOWN 	COUNTY 	1/1/1984	12/31/1989	54.093	-5.92108	BT34 3 
16478	ANNALONG VALLEY 	DOWN 	COUNTY 	1/1/1923	Current 	54.1338	-5.92455	BT34 4 
16108	ARDEEMORE 	TYRONE 	COUNTY 	1/1/1981	Current 	54.6744	-7.90666	BT81 7 
55667	ARDGLASS GOLF CLUB NO 2 	DOWN 	COUNTY 	1/1/2005	1/1/2005	54.2537	-5.61679	BT30 7 
62049	ARDGLASS TOLLUMGRANGE 	DOWN 	COUNTY 	11/1/2015	Current 	54.2876	-5.61374	BT30 7 
1530	ARMAGH 	ARMAGH 	COUNTY 	1836-01-01 	Current 	54.3523	-6.64866	BT61 7 
23507	ARMAGH (LPMS) 	ARMAGH 	COUNTY 	1865-04-01 	12/31/1993	54.3523	-6.65103	BT61 7 
19249	ARMOY: GRACEHILL 	ANTRIM 	COUNTY 	3/1/1998	12/31/2001	55.1282	-6.32708	BT53 8 
16308	ARMOY POLICE STATION 	ANTRIM 	COUNTY 	1/1/1964	12/31/1967	55.1318	-6.32849	BT53 8 
16309	ARMOY S WKS 	ANTRIM 	COUNTY 	1/1/1980	12/31/1981	55.131	-6.33323	BT53 8 
16193	AUCHNACLOY S WKS 	TYRONE 	COUNTY 	1/1/1957	9/1/2008	54.4114	-6.97725	BT69 6 
16187	BALLAGHNEED: FOGART RESR 	TYRONE 	COUNTY 	1/1/1980	12/31/1984	54.4435	-7.19994	BT76 0 
16539	BALLINAMALLARD S WKS 	FERMANAGH 	COUNTY 	1/1/1961	9/1/2004	54.423	-7.59786	BT94 2 
19164	BALLINREES RESR 	LONDONDERRY 	COUNTY 	5/1/1997	3/1/2008	55.1122	-6.74638	BT51 4 
16298	BALLINREES W WKS 	LONDONDERRY 	COUNTY 	1/1/1977	12/31/1983	55.1134	-6.74149	BT51 4 
16520	BALLINTEMPO FOREST 	FERMANAGH 	COUNTY 	1/1/1961	12/31/1984	54.3203	-7.91701	BT93 5 
16252	BALLYBOLEY FOREST 	ANTRIM 	COUNTY 	1/1/1962	12/31/1973	54.8035	-5.95476	BT39 9 
16076	BALLYBRACK 	TYRONE 	COUNTY 	1/1/1964	12/31/1965	54.6343	-7.1234	BT79 0 
16077	BALLYBRACK NO 2 	TYRONE 	COUNTY 	1/1/1967	12/31/1967	54.6325	-7.12499	BT79 0 
16304	BALLYBRADDIN FOREST 	ANTRIM 	COUNTY 	1/1/1961	12/31/1973	55.0573	-6.2643	BT44 9 
16346	BALLYCARRY 	ANTRIM 	COUNTY 	1/1/1949	Current 	54.7814	-5.74631	BT40 3 
16158	BALLYCARTON FOREST 	LONDONDERRY 	COUNTY 	1/1/1962	12/31/1984	55.1063	-6.93916	BT49 0 
16326	BALLYCASTLE FOREST 	ANTRIM 	COUNTY 	1/1/1962	12/31/1976	55.1945	-6.24577	BT54 6 
16322	BALLYCASTLE: MAGHERINTEMPLE 	ANTRIM 	COUNTY 	1/1/1983	Current 	55.1895	-6.20245	BT54 6 
1453	BALLYCASTLE NO 2 	ANTRIM 	COUNTY 	1/1/1984	12/31/1989	55.2106	-6.24349	BT54 6 
16256	BALLYCLARE: COGRY 	ANTRIM 	COUNTY 	1/1/1988	12/31/1993	54.7565	-6.04414	BT39 0 
56332	BALLYCLARE: COULTERS HILL 	ANTRIM 	COUNTY 	10/1/2008	6/1/2011	54.745	-5.97257	BT39 9 
56988	BALLYCLARE: COULTERS HILL NO2 	ANTRIM 	COUNTY 	8/1/2011	Current 	54.7487	-5.97661	BT39 9 
16254	BALLYCLARE RASHEE 	ANTRIM 	COUNTY 	1/1/1994	6/1/2009	54.758	-6.00689	BT39 9 
16255	BALLYCLARE S WKS 	ANTRIM 	COUNTY 	1/1/1963	12/31/1987	54.7425	-6.00909	BT39 9 
16452	BALLYCLOGHAN 	DOWN 	COUNTY 	1/1/1963	12/31/1976	54.475	-5.81997	BT24 7 
16415	BALLYCULTRA 	DOWN 	COUNTY 	1/1/1964	12/31/1966	54.6482	-5.80915	BT18 0 
16212	BALLYDUGAN RESR 	DOWN 	COUNTY 	1/1/1967	12/31/1969	54.4162	-6.36237	BT63 5 
17341	BALLYGAWLEY PRIMARY SCHOOL 	TYRONE 	COUNTY 	1/1/1996	3/31/2002	54.4647	-7.03448	BT77 0 
16192	BALLYGAWLEY RESR 	TYRONE 	COUNTY 	1/1/1960	12/31/1985	54.4566	-7.02697	BT70 2 
16442	BALLYGOWAN RESR 	DOWN 	COUNTY 	1/1/1977	12/31/1982	54.4989	-5.80171	BT23 6 
16424	BALLYHALBERT 	DOWN 	COUNTY 	1/1/1961	12/31/1962	54.4949	-5.46072	BT22 
16425	BALLYHALBERT NO 2 	DOWN 	COUNTY 	1/1/1961	12/31/1961	54.5068	-5.46771	BT22 2 
16860	BALLYHALBERT NO 3 	DOWN 	COUNTY 	1/1/1962	12/31/1964	54.4921	-5.45164	BT22 
